Design No.,Contractor,Mix Type,Grade,Binder Content,Binder Type,Traffic Level,FLc,Flf,AL,GA,HN,IL,JA,KY,MX,NS,NB,QC,SC,TN,AL2,GA2,HN2,IL2,JA2,KY2,MX2,NS2,NB2,QC2,SC2,TN2,Sand,RAP,BLEND SUM,Design No.
3128A,Anderson Columbia,SP 19.0,Coarse,4.7,PG 76 22 (PMA),E,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 04 3128A
3129A,Anderson Columbia,SP 19.0,Coarse,4.9,PG 76 22 (PMA),E,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 04 3129A
3130A,Anderson Columbia,SP 12.5,Fine,5.3,PG 67 22,C,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,100.00,SP 04 3130A
3131A,Dickerson Florida Inc.,SP 12.5,Fine,6.1,PG 64 22,C,30.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,28.00,100.00,SP 04 3131A
3132A,Anderson Columbia,SP 12.5,Fine,5.0,PG 64 22,C,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,17.00,100.00,SP 04 3132A
3133A,Anderson Columbia,SP 12.5,Fine,5.1,PG 76 22 (PMA),C,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,100.00,SPM 04 3133A
3134A,APAC Central Fla. Division,SP 12.5,Fine,6.3,PG 64 22,C,22.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,20.00,100.00,SP 04 3134A
3135A,H & R Paving,SP 12.5,Fine,7.2,PG 64 22,C,45.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3135A
3136A,H & R Paving,SP 9.5,Fine,8.0,PG 64 22,C,30.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3136A
3137A,APAC Central Fla. Division,SP 19.0,Coarse,5.2,PG 67 22,D,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 04 3137A
3138A,Ajax Paving Industries Inc.,SP 9.5,Fine,6.7,PG 67 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,15.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 04 3138A
3139A,C.W. Roberts Contracting,FC 5,0 ,6.2,PG 76 22 (PMA),0 ,0.00,8.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 04 3139A
3140A,East Coast Paving,SP 12.5,Coarse,7.0,PG 67 22,D,65.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 04 3140A
3141A,APAC First Coast Division,SP 12.5,Fine,5.6,PG 67 22,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3141A
3142A,APAC First Coast Division,FC 12.5,Fine,5.6,ARB 5,C,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3142A
3143A,APAC First Coast Division,SP 12.5,Fine,5.2,PG 76 22 (PMA),C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 04 3143A
3144A,Orlando Paving Co.,SP 19.0,Fine,5.3,PG 64 22,C,36.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,29.00,100.00,SP 04 3144A
3145A,C.W. Roberts Contracting,FC 5,0 ,6.2,PG 76 22 (PMA),0 ,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 04 3145A
3146A,C.W. Roberts Contracting,FC 5,0 ,6.4,ARB 12,0 ,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SP 04 3146A
3147A,APAC Central Fla. Division,SP 12.5,Coarse,5.3,PG 76 22 (PMA),D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,15.00,100.00,SPM 04 3147A
3148A,Elmo Greer & Sons,SP 9.5,Fine,7.2,PG 64 22,C,30.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 04 3148A
3149A,APAC Central Fla. Division,SP 9.5,Fine,7.4,PG 67 22,C,50.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3149A
3150A,Elmo Greer & Sons,FC 5,0 ,6.8,PG 76 22 (PMA),0 ,92.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 04 3150A
3151A,Anderson Columbia,FC 5,0 ,6.8,PG 76 22 (PMA),0 ,93.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SPM 04 3151A
3152A,Elmo Greer & Sons,SP 12.5,Fine,6.6,PG 64 22,C,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 04 3152A
3153A,Peavy & Son Construction,SP 9.5,Fine,5.7,PG 67 22,C,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 04 3153A
3154A,Peavy & Son Construction,FC 9.5,Fine,5.7,ARB 5,C,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 04 3154A
3155A,D.A.B. Constructors,FC 5,0 ,6.3,PG 76 22 (PMA),0 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 04 3155A
3156A,Peavy & Son Construction,SP 9.5,Fine,5.6,PG 64 22,C,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 04 3156A
3157A,Anderson Columbia,SP 12.5,Fine,5.3,PG 67 22,C,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,17.00,100.00,SP 04 3157A
3158A,C.W. Roberts Contracting,FC 5,0 ,6.2,PG 76 22 (PMA),0 ,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 04 3158A
3159A,Anderson Columbia,SP 12.5,Fine,5.2,PG 67 22,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,17.00,100.00,SP 04 3159A
3160A,Anderson Columbia,SP 19.0,Coarse,4.7,PG 76 22 (PMA),E,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 04 3160A
3161A,Anderson Columbia,FC 5,0 ,5.9,ARB 12,0 ,0.00,0.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SP 04 3161A
3162A,APAC Central Fla. Division,SP 12.5,Fine,5.4,ARB 5,C,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 04 3162A
3163A,P & S Paving Inc.,SP 12.5,Coarse,6.2,PG 67 22,D,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SP 04 3163A
3164A,Duval Asphalt Products,SP 12.5,Fine,5.5,PG 64 22,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SP 04 3164A
3165A,Brewer Company,SP 12.5,Fine,7.3,PG 64 22,B,33.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3165A
3166A,Halifax Paving Inc.,SP 12.5,Fine,5.3,PG 64 22,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,18.00,100.00,SP 04 3166A
3167A,Halifax Paving Inc.,SP 9.5,Coarse,5.5,PG 64 22,D,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3167A
3168A,Ranger Construction,SP 12.5,Fine,6.0,PG 64 22,C,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 04 3168A
3169A,P & S Paving Inc.,SP 9.5,Fine,6.6,PG 64 22,C,35.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.00,100.00,SP 04 3169A
3170A,P & S Paving Inc.,SP 12.5,Fine,6.4,RA 1425,C,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,100.00,SP 04 3170A
3171A,Duval Asphalt Products,SP 12.5,Fine,5.3,PG 67 22,C,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3171A
3172A,Duval Asphalt Products,FC 12.5,Fine,5.3,ARB 5,C,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3172A
3173A,Duval Asphalt Products,SP 9.5,Fine,6.0,PG 64 22,C,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SP 04 3173A
3174A,APAC Central Fla. Division,SP 9.5,Fine,7.4,PG 67 22,C,50.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3174A
3175A,APAC Central Fla. Division,SP 12.5,Fine,7.5,PG 67 22,C,45.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 04 3175A
3176A,Ranger Construction,FC 12.5,Fine,6.2,ARB 5,C,58.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 04 3176A
3177A,C.W. Roberts Contracting,SP 12.5,Coarse,5.0,PG 76 22 (PMA),D,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SPM 04 3177A
3178A,APAC Southern Fla. Division,SP 12.5,Coarse,5.6,PG 67 22,D,12.00,8.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3178A
3179A,APAC Southern Fla. Division,SP 12.5,Coarse,5.5,PG 67 22,D,0.00,8.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3179A
3180A,Peavy & Son Construction,SP 12.5,Coarse,5.0,PG 67 22,D,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 04 3180A
3181A,Peavy & Son Construction,SP 12.5,Coarse,5.0,PG 67 22,D,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 04 3181A
3182A,APAC Central Fla. Division,SP 12.5,Fine,7.1,PG 67 22,C,35.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3182A
3183A,Steven Counts Inc.,SP 9.5,Fine,5.8,PG 64 22,C,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,25.00,100.00,SP 04 3183A
3184A,Ranger Construction,SP 19.0,Fine,5.7,RA 1500,C,42.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 04 3184A
3185A,D.A.B. Constructors,SP 19.0,Fine,5.9,PG 64 22,C,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,14.00,25.00,100.00,SP 04 3185A
3186A,D.A.B. Constructors,SP 19.0,Fine,5.9,PG 76 22 (PMA),C,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,16.00,15.00,100.00,SPM 04 3186A
3187A,D.A.B. Constructors,SP 12.5,Coarse,5.5,PG 64 22,D,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3187A
3188A,Anderson Columbia,SP 12.5,Fine,5.0,PG 64 22,C,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,17.00,100.00,SP 04 3188A
3189A,Anderson Columbia,SP 12.5,Coarse,5.2,PG 76 22 (PMA),E,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,100.00,SPM 04 3189A
3190A,Anderson Columbia,SP 12.5,Fine,5.5,PG 64 22,C,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,13.00,100.00,SP 04 3190A
3191A,Peavy & Son Construction,SP 9.5,Coarse,5.4,PG 67 22,D,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SP 04 3191A
3192A,V.A. Paving Inc.,SP 19.0,Fine,5.0,RA 1200,C,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,100.00,SP 04 3192A
3193A,APAC First Coast Division,SP 12.5,Fine,5.5,RA 1300,C,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,100.00,SP 04 3193A
3194A,Peavy & Son Construction,FC 9.5,Fine,5.5,ARB 5,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 04 3194A
3195A,Peavy & Son Construction,SP 9.5,Fine,5.5,PG 67 22,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 04 3195A
3196A,Halifax Paving Inc.,SP 19.0,Coarse,4.9,PG 64 22,D,0.00,0.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,100.00,SP 04 3196A
3197A,Orlando Paving Co.,SP 12.5,Fine,5.7,PG 67 22,C,20.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 04 3197A
3198A,Anderson Columbia,FC 12.5,Fine,5.0,ARB 5,C,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,100.00,SP 04 3198A
3199A,Anderson Columbia,FC 12.5,Fine,5.3,ARB 5,C,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,100.00,SP 04 3199A
3200A,Anderson Columbia,FC 12.5,Fine,5.1,PG 76 22 (PMA),C,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,100.00,SPM 04 3200A
3201A,Ranger Construction,SP 9.5,Fine,6.5,RA 1175,C,25.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,100.00,SP 04 3201A
3202A,Anderson Columbia,SP 9.5,Fine,6.0,PG 64 22,C,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,100.00,SP 04 3202A
3203A,Mitchell Brothers Inc.,SP 12.5,Fine,5.6,PG 67 22,C,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 04 3203A
3204A,Peavy & Son Construction,FC 12.5,Fine,4.7,ARB 5,C,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 04 3204A
3205A,Peavy & Son Construction,SP 12.5,Fine,4.7,PG 67 22,C,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 04 3205A
3206A,Mitchell Brothers Inc.,FC 12.5,Fine,5.6,ARB 5,C,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,100.00,SP 04 3206A
3207A,Ranger Construction,SP 19.0,Coarse,5.9,PG 64 22,C,37.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 04 3207A
3208A,APAC Central Fla. Division,SP 19.0,Fine,6.4,PG 64 22,C,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,13.00,100.00,SP 04 3208A
3209A,Orlando Paving Co.,FC 5,0 ,5.7,ARB 12,0 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SP 04 3209A
3210A,John C. Hipp Construction,FC 12.5,Fine,7.0,PG 76 22 (PMA),C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SPM 04 3210A
